disease,description,symptoms
"Overview
    
 - 
      Progressive supranuclear palsy","Progressive supranuclear palsy (PSP) is a rare neurological condition that can cause problems with balance, movement, vision, speech and swallowing.
It's caused by increasing numbers of brain cells becoming damaged over time.","The symptoms of PSP usually get gradually worse over time.
At first, they can be similar to some other conditions, which makes it difficult to diagnose early on.
Some of the main symptoms of PSP include:
- problems with balance and mobility, including frequentfalls
- changes in behaviour, such as irritability or apathy (lack of interest)
- muscle stiffness
- an inability to control eye and eyelid movement, including focusing on specific objects or looking up or down at something
- slow, quiet or slurred speech
- difficulty swallowing (dysphagia)
- slowness of thought and some memory problems
The rate at which the symptoms progress can vary widely from person to person.
Read more about thesymptoms of PSP."
"Overview
    
 - 
      Prostate cancer","Prostate cancer usually develops slowly, so there may be no signs for many years.
Symptoms of prostate cancer do not usually appear until the prostate is large enough to affect the tube that carries urine from the bladder out of the penis (urethra).","Symptoms of prostate cancer do not usually appear until the prostate is large enough to affect the tube that carries urine from the bladder out of the penis (urethra).
When this happens, you may notice things like:
- an increased need to pee
- straining while you pee
- a feeling that your bladder has not fully emptied
These symptoms should not be ignored, but they do not mean you have prostate cancer.
It's more likely they're caused by something else, such asprostate enlargement."
Prostatitis,"Prostatitis is inflammation of the prostate, which is a small gland found below the bladder in men. It can be serious and needs urgent medical help.
Symptoms of prostatitis can affect anyone with a prostate gland.","If you've been told you have prostatitis, there are some things you can do to help with the symptoms."
PSA test,"A PSA test is a blood test to help check for prostate conditions such as prostate cancer or an enlarged prostate.
The prostate is a small, walnut-size gland under the bladder and behind the penis. It produces a thick fluid that mixes with sperm to make semen.","- peeing more than usual, having a sudden urge to pee or getting up often in the night to pee
- blood in your pee
- problems getting or keeping an erection"
"Overview
    
 - 
      Psoriasis","Psoriasis is a skin condition that causes flaky patches of skin which form scales.
On brown, black and white skin the patches can look pink or red, and the scales white or silvery. On brown and black skin the patches can also look purple or dark brown, and the scales may look grey.","Psoriasis typically causes patches of skin that are dry and covered in scales.
On brown, black and white skin the patches can look pink or red, and the scales white or silvery. On brown and black skin the patches can also look purple or dark brown, and the scales may look grey.
Some people find their psoriasis causes itching or soreness.
There are several different types of psoriasis. Many people have only 1 type at a time, although you can have 2 different types together. One type may change into another or become more severe.
Most cases of psoriasis go through cycles, causing problems for a few weeks or months before easing or stopping.
You should see a GP if you think you may have psoriasis."
Psoriatic arthritis,"Psoriatic arthritis is a long-term condition that causes joint pain, swelling and stiffness.Medicines can help treat the symptoms.
Some people with the skin conditionpsoriasiswill get psoriatic arthritis as they get older.",There are some things you can do to help ease the symptoms of psoriatic arthritis.
Pubic lice,"Pubic lice are tiny insects that can live on body hair, especially the pubic hair around the penis or vagina. They're spread through close body contact, most commonly through sexual contact.
Pubic lice are sometimes also called crabs.","- itching, which is usually worse at night
- small red or blue spots on your skin (lice bites)
- white/yellow dots attached to your hair (lice eggs)
- dark red or brown spots in your underwear (lice poo)
- crusted or sticky eyelashes, if they're affected"
Pudendal neuralgia,"Pudendal neuralgia is nerve pain in the genitals, bottom, anus or pelvis. It can last a long time, but there are treatments that can help.
The main symptom of pudendal neuralgia is sharp, shooting, burning or tingling pain (nerve pain) or numbness in your:","- genitals (your vagina, vulva and clitoris or penis and scrotum)
- bottom and anus
- perineum (the area between your genitals and anus)
- pelvis"
Pulmonary embolism,"A pulmonary embolism is when a blood clot blocks a blood vessel in your lungs. It can be life-threatening if not treated quickly.
Symptoms of a pulmonary embolism include:","- difficulty breathing that comes on suddenly
- chest pain that's worse when you breathe in
- coughing up blood"
"Overview
    
 - 
      Pulmonary hypertension","Pulmonary hypertension is high blood pressure in theblood vessels that supply the lungs (pulmonary arteries).
It's a serious condition that can damage the right side of the heart.","Symptoms of pulmonary hypertension include:
- shortness of breath
- tiredness
- feeling faint or dizzy
- chest pain (angina)
- a racing heartbeat (palpitations)
- swelling (oedema) in the legs, ankles, feet or tummy (abdomen)
The symptoms often get worse during exercise, which can limit your ability to take part in physical activities.
If you have a type of pulmonary hypertension known as pulmonary arterial hypertension (PAH), you may not have any symptoms until the condition is quite advanced."
Pyoderma gangrenosum,"Pyoderma gangrenosum is a rare skin condition that causes large, painful ulcers. Treatment from a GP or skin specialist can help.
The main symptom of pyoderma gangrenosum is a large, painful ulcer on your skin.","- stiff joints
- aching and painful muscles
- a high temperature"
Q fever,"Q fever is a bacterial infection you can catch from infected farm animals such as sheep, cattle and goats. It's usually harmless, but it can cause serious problems in some people.
Q fever does not always cause symptoms. Some people get flu-like symptoms within 2 to 3 weeks of being infected, such as:","Q fever does not always cause symptoms. Some people get flu-like symptoms within 2 to 3 weeks of being infected, such as:
- a high temperature
- aching muscles
- tiredness
- feeling sick
- a sore throat
- swollen glands
Symptoms of Q fever usually last up to 2 weeks."
